Amb_a_1.0101_2 vs. Amb_a_1.0401_2,0.07824513520693636,-0.14411764705882352,15.0,-15.0,30.0,25.0,10.0,14.0,22.22222222222222,13.0,0.768948,0.0,-9.0,11.11111111111111,9.0,11.11111111111111,9.0,2.7,0.32,3.02,1,3,0,1459.5,1.03476821192053
Amb_a_1.0101_3 vs. Amb_a_1.0201_3,0.36995908564826635,0.42857142857142855,80.0,11.0,80.0,111.0,75.0,104.0,88.88888888888889,59.0,0.938600,88.88888888888889,59.0,88.88888888888889,59.0,88.88888888888889,59.0,0.12,0.36,0.24,2,4,2,7990.4,11.574074074074074
Amb_a_1.0101_3 vs. Amb_a_1.0304_3,0.29107495231984837,0.4945054945054945,85.0,13.0,85.0,112.0,80.0,105.0,88.88888888888889,60.0,0.943629,88.88888888888889,59.0,88.88888888888889,59.0,88.88888888888889,59.0,0.13999999999999999,0.36,0.22,2,4,2,8488.1,12.626262626262626
Amb_a_1.0101_3 vs. Amb_a_1.0401_3,0.10594770494863195,0.6439560439560439,70.0,6.0,70.0,92.0,60.0,82.0,88.88888888888889,54.0,0.896882,88.88888888888889,54.0,88.88888888888889,54.0,88.88888888888889,54.0,2.3800000000000003,0.36,2.74,2,1,1,6833.400000000001,1.013787510137875
Amb_a_1.0101_3 vs. Amb_a_1.0501_3,0.8038526329080212,0.5032967032967033,80.0,11.0,80.0,105.0,75.0,98.0,100.0,55.0,0.925417,11.11111111111111,-9.0,77.77777777777779,51.0,77.77777777777779,54.0,0.07,0.36,0.29,2,2,2,7994.400000000001,9.578544061302683
Amb_a_1.0101_4 vs. Amb_a_1.0201_4,0.5986483611067374,0.18214285714285713,80.0,12.0,80.0,125.0,80.0,125.0,88.88888888888889,60.0,0.930051,66.66666666666666,50.0,66.66666666666666,50.0,66.66666666666666,54.0,0.77,0.27,1.04,4,5,4,7938.400000000001,3.5612535612535607
Amb_a_1.0101_4 vs. Amb_a_1.0304_4,0.7609911065046079,0.30769230769230765,85.0,14.0,85.0,123.0,85.0,121.0,88.88888888888889,60.0,0.916263,0.0,-20.0,0.0,-20.0,77.77777777777779,50.0,1.41,0.27,1.68,4,2,2,8380.15,2.204585537918871
Amb_a_1.0101_4 vs. Amb_a_1.0401_4,-0.09846682855474838,0.18181818181818182,85.0,13.0,85.0,116.0,80.0,113.0,100.0,59.0,0.897416,77.77777777777779,49.0,77.77777777777779,49.0,77.77777777777779,49.0,0.16000000000000003,0.27,0.11,4,6,3,8486.4,33.67003367003367
Amb_a_1.0101_5 vs. Amb_a_1.0304_5,0.6381024434247469,0.0035714285714285704,70.0,7.0,75.0,105.0,65.0,91.0,88.88888888888889,60.0,0.865676,77.77777777777779,47.0,77.77777777777779,47.0,77.77777777777779,47.0,0.09999999999999999,0.05,0.15,5,4,4,6993.0,133.33333333333334
Amb_a_1.0101_6 vs. Amb_a_1.0201_6,0.9827786792162334,0.7642857142857141,85.0,13.0,85.0,113.0,80.0,110.0,100.0,65.0,0.953700,100.0,63.0,100.0,63.0,100.0,64.0,0.22999999999999998,1.19,0.96,4,5,4,8480.449999999999,0.8753501400560225
Amb_a_1.0101_6 vs. Amb_a_1.0304_6,0.7797750088685148,0.5785714285714285,90.0,16.0,90.0,119.0,90.0,119.0,100.0,65.0,0.966869,100.0,63.0,100.0,63.0,100.0,64.0,0.15000000000000013,1.19,1.34,4,4,4,8986.5,0.6271165182490906
Amb_a_1.0101_6 vs. Amb_a_1.0401_6,0.9509509817439651,0.6747252747252748,90.0,16.0,90.0,125.0,90.0,125.0,100.0,65.0,0.980278,100.0,63.0,100.0,63.0,100.0,64.0,0.030000000000000027,1.19,1.16,4,4,4,8997.3,0.7244277021153289
Amb_a_1.0101_6 vs. Amb_a_1.0501_6,0.93990022914485,0.5529411764705882,80.0,12.0,80.0,109.0,80.0,109.0,88.88888888888889,61.0,0.936827,88.88888888888889,60.0,88.88888888888889,60.0,88.88888888888889,61.0,0.32000000000000006,1.19,1.51,4,4,4,7974.400000000001,0.5565139963270077
Amb_a_1.0101_8 vs. Amb_a_1.0201_8,0.9717941256542642,0.7181818181818183,75.0,9.0,75.0,95.0,65.0,91.0,100.0,59.0,0.898780,88.88888888888889,49.0,88.88888888888889,49.0,88.88888888888889,49.0,0.81,0.8,1.61,2,1,1,7439.25,0.7763975155279502
Amb_a_1.0101_8 vs. Amb_a_1.0304_8,0.90691258649127,0.6208791208791209,75.0,9.0,75.0,98.0,70.0,95.0,100.0,59.0,0.917181,88.88888888888889,49.0,88.88888888888889,49.0,88.88888888888889,49.0,0.34,0.8,0.46,2,2,2,7474.5,2.717391304347826
Amb_a_1.0101_8 vs. Amb_a_1.0401_8,0.8609389937221975,0.5879120879120878,70.0,7.0,70.0,87.0,65.0,81.0,100.0,59.0,0.896664,88.88888888888889,49.0,88.88888888888889,49.0,88.88888888888889,49.0,0.32000000000000006,0.8,0.48,2,2,2,6977.6,2.604166666666667
Amb_a_1.0101_11 vs. Amb_a_1.0201_11,0.7210391365722139,0.532142857142857,70.0,8.0,70.0,103.0,70.0,105.0,88.88888888888889,53.0,0.904739,77.77777777777779,46.0,77.77777777777779,46.0,77.77777777777779,46.0,0.18000000000000005,0.47,0.65,1,1,1,6987.4,3.273322422258592
