Alng1_1 vs. Betv1_1,0.5247759277149029,0.5991119196438357,90.0,16.0,90.0,113.0,90.0,113.0,100.0,56.0,0.927387,77.77777777777779,39.0,77.77777777777779,39.0,77.77777777777779,39.0,0.18999999999999995,1.6,1.79,4,3,3,8982.9,0.34916201117318435,12,125.0
Betv1_1 vs. Cora1_1,0.3404508242594445,0.1991106713526072,90.0,16.0,90.0,113.0,90.0,113.0,100.0,56.0,0.928448,77.77777777777779,39.0,77.77777777777779,39.0,77.77777777777779,39.0,0.16000000000000014,1.79,1.63,3,4,3,8985.6,0.3427357164890153,12,125.0
Betv1_1 vs. Mald1_1,0.512421798547243,0.4866909082038543,65.0,6.0,65.0,82.0,65.0,81.0,66.66666666666666,36.0,0.826219,22.22222222222222,5.0,22.22222222222222,5.0,66.66666666666666,30.0,1.67,1.79,0.12,3,3,2,6391.45,4.655493482309125,9,91.0
Alng1_2 vs. Betv1_2,0.7415472722458254,0.6336621454993836,90.0,16.0,90.0,114.0,90.0,114.0,100.0,61.0,0.981476,77.77777777777779,48.0,77.77777777777779,48.0,100.0,54.0,0.7799999999999999,1.18,0.4,3,3,3,8929.8,2.1186440677966103,9,123.0
Betv1_2 vs. Cora1_2,0.6958271406970056,0.5943047517905378,75.0,10.0,75.0,104.0,75.0,104.0,100.0,56.0,0.932106,55.55555555555556,42.0,55.55555555555556,42.0,66.66666666666666,45.0,0.31999999999999995,0.4,0.72,3,3,3,7476.000000000001,3.4722222222222223,9,113.0
Betv1_2 vs. Mald1_2,0.5365997161503465,0.4633411034327448,70.0,8.0,70.0,92.0,70.0,91.0,88.88888888888889,56.0,0.893241,66.66666666666666,45.0,66.66666666666666,45.0,77.77777777777779,47.0,0.11000000000000004,0.4,0.29,3,4,3,6992.3,8.620689655172415,12,104.0
Betv1_2 vs. Quea1_2,0.43080382429597924,0.4957634914518348,80.0,10.0,80.0,98.0,80.0,90.0,77.77777777777779,45.0,0.901333,55.55555555555556,34.0,55.55555555555556,34.0,77.77777777777779,42.0,2.81,0.4,3.21,3,2,2,7775.2,0.778816199376947,6,104.0
Alng1_3 vs. Betv1_3,0.6326734884642086,0.4301068418190757,80.0,12.0,80.0,110.0,80.0,110.0,88.88888888888889,52.0,0.915781,77.77777777777779,48.0,77.77777777777779,48.0,77.77777777777779,51.0,1.76,2.29,0.53,3,2,2,7859.2,0.8239268352970256,6,116.0
Betv1_3 vs. Cora1_3,0.6241820653225607,0.35323141940384006,70.0,8.0,70.0,103.0,70.0,103.0,88.88888888888889,55.0,0.911560,55.55555555555556,42.0,55.55555555555556,42.0,77.77777777777779,50.0,0.81,0.53,1.34,2,4,2,6943.3,1.40805406927626,8,111.0
Betv1_3 vs. Mald1_3,0.7933743575386116,0.5690375588553337,70.0,8.0,70.0,101.0,70.0,102.0,77.77777777777779,55.0,0.912767,66.66666666666666,45.0,66.66666666666666,45.0,77.77777777777779,49.0,0.04999999999999993,0.53,0.58,2,4,2,6996.5,3.2530904359141184,8,109.0
Betv1_3 vs. Quea1_3,0.7015591964444758,0.7224109109817726,70.0,7.0,70.0,84.0,70.0,80.0,77.77777777777779,41.0,0.855383,0.0,-17.0,55.55555555555556,34.0,66.66666666666666,38.0,1.07,0.53,1.6,2,3,1,6925.1,1.1792452830188678,6,90.0
Alng1_4 vs. Betv1_4,0.7760779231520228,0.59101019805606,90.0,16.0,90.0,127.0,90.0,127.0,100.0,65.0,0.977779,88.88888888888889,51.0,88.88888888888889,51.0,88.88888888888889,51.0,1.9299999999999997,3.03,1.1,2,2,2,8826.3,0.3000300030003,4,131.0
Betv1_4 vs. Cora1_4,0.7304911748118827,0.5624537151320661,90.0,16.0,90.0,129.0,90.0,129.0,88.88888888888889,64.0,0.974868,77.77777777777779,48.0,77.77777777777779,48.0,77.77777777777779,48.0,0.15000000000000013,1.1,0.95,2,2,2,8986.5,0.9569377990430621,4,133.0
