Alng1_1 vs. Betv1_1,0.6513255930064078,0.5991119196438357,90.0,16.0,90.0,113.0,90.0,113.0,100.0,56.0,0.927387,77.77777777777779,39.0,77.77777777777779,39.0,77.77777777777779,39.0,0.18999999999999995,1.6,1.79,4,3,3,8982.9,0.34916201117318435
Betv1_1 vs. Cora1_1,0.6856714831788736,0.1991106713526072,90.0,16.0,90.0,113.0,90.0,113.0,100.0,56.0,0.928448,77.77777777777779,39.0,77.77777777777779,39.0,77.77777777777779,39.0,0.16000000000000014,1.79,1.63,3,4,3,8985.6,0.3427357164890153
Betv1_1 vs. Mald1_1,0.6101953813237461,0.4866909082038543,65.0,6.0,65.0,82.0,65.0,81.0,66.66666666666666,36.0,0.826219,22.22222222222222,5.0,22.22222222222222,5.0,66.66666666666666,30.0,1.67,1.79,0.12,3,3,2,6391.45,4.655493482309125
Alng1_2 vs. Betv1_2,0.6365060885983532,0.6336621454993836,90.0,16.0,90.0,114.0,90.0,114.0,100.0,61.0,0.981476,77.77777777777779,48.0,77.77777777777779,48.0,100.0,54.0,0.7799999999999999,1.18,0.4,3,3,3,8929.8,2.1186440677966103
Betv1_2 vs. Cora1_2,0.5951999462813928,0.5943047517905378,75.0,10.0,75.0,104.0,75.0,104.0,100.0,56.0,0.932106,55.55555555555556,42.0,55.55555555555556,42.0,66.66666666666666,45.0,0.31999999999999995,0.4,0.72,3,3,3,7476.000000000001,3.4722222222222223
Betv1_2 vs. Mald1_2,0.4359892674540728,0.4633411034327448,70.0,8.0,70.0,92.0,70.0,91.0,88.88888888888889,56.0,0.893241,66.66666666666666,45.0,66.66666666666666,45.0,77.77777777777779,47.0,0.11000000000000004,0.4,0.29,3,4,3,6992.3,8.620689655172415
Betv1_2 vs. Quea1_2,0.25131101187542265,0.4957634914518348,80.0,10.0,80.0,98.0,70.0,83.0,77.77777777777779,45.0,0.901333,55.55555555555556,34.0,55.55555555555556,34.0,77.77777777777779,42.0,2.81,0.4,3.21,3,2,2,7775.2,0.778816199376947
Alng1_3 vs. Betv1_3,0.8421246785440704,0.4301068418190757,80.0,12.0,80.0,110.0,80.0,110.0,88.88888888888889,52.0,0.915781,77.77777777777779,48.0,77.77777777777779,48.0,77.77777777777779,51.0,1.76,2.29,0.53,3,2,2,7859.2,0.8239268352970256
Betv1_3 vs. Cora1_3,0.8325745601246842,0.35323141940384006,70.0,8.0,70.0,103.0,70.0,103.0,88.88888888888889,55.0,0.911560,55.55555555555556,42.0,55.55555555555556,42.0,77.77777777777779,50.0,0.81,0.53,1.34,2,4,2,6943.3,1.40805406927626
Betv1_3 vs. Mald1_3,0.8483801434639044,0.5690375588553337,70.0,8.0,70.0,101.0,70.0,102.0,77.77777777777779,55.0,0.912767,66.66666666666666,45.0,66.66666666666666,45.0,77.77777777777779,49.0,0.04999999999999993,0.53,0.58,2,4,2,6996.5,3.2530904359141184
